Stock Invested in,Sector,Sector Total,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName,Fund Name,Fund Id,MF ACF,MF Type
Solar Industries India Ltd.,Explosives,3.18,20700.8,3.18%,0.12%,3.22% (Dec 2023),1.95% (Jul 2023),30.76 L,0.00,Small Cap,4.02,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Shree Cement Ltd.,Cement & cement products,3.1,20148.5,3.10%,-0.37%,3.53% (Dec 2023),2.87% (Jun 2023),7.90 L,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
"-
Larsen & Toubro Ltd.",Civil construction,2.78,18077.8,2.78%,0.00%,2.85% (Dec 2023),2.25% (Jun 2023),51.98 L,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Cipla Ltd.,Pharmaceuticals,6.2,16283.9,2.50%,0.21%,2.5% (Feb 2024),1.77% (Apr 2023),1.10 Cr,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Avenue Supermarts Ltd.,Diversified retail,1.99,12932.4,1.99%,0.06%,2.2% (Jun 2023),1.93% (Jan 2024),33.00 L,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Muthoot Finance Pvt. Ltd.,Non banking financial company (nbfc),5.49,12917,1.98%,-0.10%,2.18% (Dec 2023),1.62% (Mar 2023),99.08 L,1.98 L,Mid Cap,8.65,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Hindalco Industries Ltd.,Aluminium,1.94,12596.3,1.94%,-0.29%,2.39% (Dec 2023),1.7% (May 2023),2.50 Cr,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
AIA Engineering Ltd.,Castings & forgings,1.62,10572,1.62%,-0.21%,1.9% (Jun 2023),1.62% (Feb 2024),29.00 L,0.00,Mid Cap,8.65,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Delhivery Ltd.,Logistics solution provider,1.6,10428.2,1.60%,0.08%,1.61% (Aug 2023),1.34% (Dec 2023),2.20 Cr,0.00,Other,7.78,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
HDFC Asset Management Co. Ltd.,Asset management company,1.47,9564.9,1.47%,0.07%,1.47% (Feb 2024),0.8% (Mar 2023),25.49 L,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
ICICI Lombard General Insurance Co Ltd.,General insurance,1.39,9072.3,1.39%,0.17%,1.39% (Feb 2024),1.02% (Apr 2023),53.00 L,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Procter & Gamble Hygiene & Health Care Ltd.,Personal care,1.04,6769.6,1.04%,-0.10%,1.27% (Oct 2023),0.68% (Mar 2023),4.30 L,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Life Insurance Corporation Of India,Life insurance,0.86,5593.6,0.86%,0.06%,0.86% (Feb 2024),0.53% (Apr 2023),54.69 L,0.00,Other,7.78,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Westlife Development Ltd.,Restaurants,0.84,5471.5,0.84%,-0.09%,1.15% (Aug 2023),0.84% (Feb 2024),73.07 L,0.00,Small Cap,4.02,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Vedant Fashions Ltd.,Speciality retail,0.79,5145.8,0.79%,0.02%,1.13% (May 2023),0.74% (Mar 2023),50.00 L,0.00,Other,7.78,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
United Breweries Ltd.,Breweries & distilleries,0.78,5063.9,0.78%,-0.05%,0.83% (Jan 2024),0% (Mar 2023),29.84 L,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Page Industries Ltd.,Garments & apparels,0.67,4371.4,0.67%,-0.06%,0.91% (Apr 2023),0.67% (Feb 2024),1.27 L,0.00,Mid Cap,8.65,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
Relaxo Footwears Ltd.,Footwear,0.33,2117.7,0.33%,-0.01%,0.4% (Mar 2023),0.33% (Feb 2024),25.34 L,0.00,Mid Cap,8.65,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
"-
Numero Uno International Ltd.",Media & entertainment,0,0,0.00%,0.00%,0% (Apr 2023),0% (Dec 2023),80.00 k,0.00,Other,7.78,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
"-
Bosch Ltd.",Auto components & equipments,0,0,0.00%,0.00%,0% (Jun 2023),0% (Dec 2023),4.70 k,0.00,Large Cap,55.93,sbi-equity-hybrid-fund-direct-plan-growth,MSB516,Equity,01_aggressive_hybrid
ICICI Bank Ltd.,Private sector bank,11.65,117.3,5.60%,0.14%,9.43% (Mar 2023),5.46% (Jan 2024),1.12 L,0.00,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
HDFC Bank Ltd.,Private sector bank,11.65,104.2,4.97%,-0.20%,9.33% (Apr 2023),4.97% (Feb 2024),74.23 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Reliance Industries Ltd.,Refineries & marketing,4.49,94.2,4.49%,0.11%,7.18% (Jun 2023),4.13% (Dec 2023),32.24 k,0.00,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Bharti Airtel Ltd.,Telecom - cellular & fixed line services,2.72,56.9,2.72%,1.24%,2.72% (Feb 2024),1.13% (Sep 2023),50.67 k,24.09 k,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Larsen & Toubro Ltd.,Civil construction,2.49,52.2,2.49%,0.72%,3.56% (Mar 2023),1% (Aug 2023),15.02 k,4.35 k,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Ultratech Cement Ltd.,Cement & cement products,2.36,49.5,2.36%,-0.06%,2.42% (Dec 2023),1.7% (Apr 2023),5.00 k,0.00,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Bajaj Finance Ltd.,Non banking financial company (nbfc),4.72,48.7,2.32%,-0.13%,2.72% (Oct 2023),0% (Mar 2023),7.50 k,0.00,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Avenue Supermarts Ltd.,Diversified retail,2.3,48.2,2.30%,0.08%,2.3% (Feb 2024),0% (Mar 2023),12.29 k,0.00,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Infosys Ltd.,Computers - software & consulting,5.67,37.1,1.77%,0.02%,4.56% (Sep 2023),1.57% (Dec 2023),22.14 k,0.00,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
LTIMindtree Ltd.,Computers - software & consulting,5.67,36,1.72%,-0.04%,1.97% (Dec 2023),0% (Mar 2023),6.80 k,0.00,Mid Cap,7.79,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Coforge Ltd.,Computers - software & consulting,5.67,35.3,1.68%,0.08%,1.68% (Feb 2024),0% (Mar 2023),5.39 k,0.00,Small Cap,8.56,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Varun Beverages Ltd.,Other beverages,1.68,35.2,1.68%,0.16%,1.68% (Feb 2024),0.79% (Mar 2023),25.00 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Dixon Technologies (India) Ltd.,Consumer electronics,1.96,29.9,1.43%,0.15%,1.43% (Feb 2024),0% (Mar 2023),4.47 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Mankind Pharma Ltd.,Pharmaceuticals,1.41,29.6,1.41%,0.09%,1.41% (Feb 2024),0% (Mar 2023),13.88 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Cholamandalam Investment & Finance Co. Ltd.,Non banking financial company (nbfc),4.72,28.3,1.35%,-0.12%,1.51% (Dec 2023),0% (Mar 2023),26.00 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
United Spirits Ltd.,Breweries & distilleries,1.28,26.8,1.28%,0.09%,2.12% (Oct 2023),0% (Mar 2023),23.00 k,0.00,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Bharat Electronics Ltd.,Aerospace & defense,1.26,26.3,1.26%,0.12%,1.26% (Feb 2024),0% (Mar 2023),1.28 L,0.00,Mid Cap,7.79,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Indraprastha Gas Ltd.,Lpg/cng/png/lng supplier,1.22,25.7,1.22%,-0.01%,1.38% (Apr 2023),0% (Mar 2023),60.24 k,0.00,Mid Cap,7.79,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Global Health Ltd.,Hospital,2.19,25.3,1.21%,0.20%,2.41% (Mar 2023),0.82% (Nov 2023),18.54 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
ICICI Lombard General Insurance Co Ltd.,General insurance,1.21,25.3,1.21%,0.16%,1.21% (Feb 2024),0% (Mar 2023),14.77 k,0.00,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
"#
Axis Bank Ltd.",Private sector bank,11.65,22.7,1.08%,1.08%,1.2% (Apr 2023),0% (Mar 2023),21.14 k,21.14 k,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Magma Fincorp Ltd.,Non banking financial company (nbfc),4.72,22.1,1.05%,-0.03%,1.08% (Jan 2024),0% (Mar 2023),47.27 k,0.00,Small Cap,8.56,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
InterGlobe Aviation Ltd.,Airline,1.05,22,1.05%,0.07%,1.05% (Feb 2024),0% (Mar 2023),6.96 k,0.00,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Sona BLW Precision Forgings Ltd.,Auto components & equipments,3.35,21.9,1.04%,0.11%,1.04% (Feb 2024),0% (Mar 2023),31.74 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Titan Company Ltd.,"Gems, jewellery and watches",1.03,21.5,1.03%,-0.01%,1.04% (Jan 2024),0% (Mar 2023),5.94 k,0.00,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Aarti Industries Ltd.,Specialty chemicals,2.09,20.9,1.00%,0.74%,1% (Feb 2024),0% (Mar 2023),31.88 k,23.67 k,Mid Cap,7.79,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Tube Investments Of India Ltd.,Auto components & equipments,3.35,20.4,0.97%,-0.65%,1.66% (Nov 2023),0% (Mar 2023),5.84 k,-2.90 k,Small Cap,8.56,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Page Industries Ltd.,Garments & apparels,0.94,19.8,0.94%,-0.09%,1.03% (Jan 2024),0% (Mar 2023),577.00,0.00,Mid Cap,7.79,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
CreditAccess Grameen Ltd.,Microfinance institutions,0.92,19.2,0.92%,-0.07%,1.18% (Oct 2023),0% (Mar 2023),13.07 k,0.00,Small Cap,8.56,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Zomato Ltd.,E-retail/ e-commerce,0.74,15.6,0.74%,0.11%,0.74% (Feb 2024),0% (Mar 2023),94.36 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Minda Industries Ltd.,Auto components & equipments,3.35,15.5,0.74%,-0.02%,0.76% (Jan 2024),0% (Mar 2023),23.14 k,0.00,Small Cap,8.56,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Maruti Suzuki India Ltd.,Passenger cars & utility vehicles,0.73,15.3,0.73%,0.07%,0.73% (Feb 2024),0% (Mar 2023),1.36 k,0.00,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Metro Brands Ltd.,Footwear,0.73,15.3,0.73%,0.03%,0.86% (Nov 2023),0% (Mar 2023),13.45 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Multi Commodity Exchange Of India Ltd.,Exchange and data platform,0.69,14.4,0.69%,0.07%,0.69% (Feb 2024),0% (Mar 2023),3.84 k,0.00,Small Cap,8.56,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
SRF Ltd.,Specialty chemicals,2.09,14.3,0.68%,0.02%,0.68% (Feb 2024),0% (Mar 2023),6.00 k,0.00,Mid Cap,7.79,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Navin Flourine International Ltd.,Commodity chemicals,0.68,14.2,0.68%,-0.09%,0.84% (Dec 2023),0% (Mar 2023),4.72 k,0.00,Small Cap,8.56,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Phoenix Mills Ltd.,"Residential, commercial projects",0.66,13.9,0.66%,-0.31%,0.97% (Jan 2024),0% (Mar 2023),5.03 k,-3.40 k,Small Cap,8.56,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Syngene International Ltd.,"Healthcare research, analytics & technology",0.65,13.6,0.65%,-0.04%,0.7% (Sep 2023),0% (Mar 2023),19.27 k,0.00,Mid Cap,7.79,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Motherson Sumi Wiring India Ltd.,Auto components & equipments,3.35,12.5,0.60%,0.05%,0.87% (Sep 2023),0% (Mar 2023),1.79 L,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Triveni Turbine Ltd.,Heavy electrical equipment,0.59,12.5,0.59%,0.14%,0.59% (Feb 2024),0% (Mar 2023),24.98 k,0.00,Small Cap,8.56,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Krishna Institute of Medical Sciences Ltd.,Hospital,2.19,12.3,0.59%,0.04%,0.59% (Feb 2024),0% (Mar 2023),5.44 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Ratnamani Metals & Tubes Ltd.,Iron & steel products,0.58,12.2,0.58%,-0.11%,0.71% (Oct 2023),0% (Mar 2023),4.03 k,0.00,Small Cap,8.56,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Vedant Fashions Ltd.,Speciality retail,0.56,11.8,0.56%,0.01%,0.73% (Nov 2023),0% (Mar 2023),11.49 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Havells India Ltd.,Consumer electronics,1.96,11.2,0.53%,0.08%,0.53% (Feb 2024),0% (Mar 2023),7.32 k,0.00,Large Cap,30.96,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Indiamart Intermesh Ltd.,Internet & catalogue retail,0.51,10.8,0.51%,0.02%,0.51% (Dec 2023),0% (Mar 2023),4.05 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Happiest Minds Technologies Ltd.,Computers - software & consulting,5.67,10.4,0.50%,-0.01%,0.51% (Dec 2023),0% (Mar 2023),12.28 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Landmark Cars Ltd.,Auto dealer,0.43,9.1,0.43%,-0.07%,0.5% (Jan 2024),0% (Mar 2023),12.58 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Devyani International Ltd.,Restaurants,0.42,8.8,0.42%,-0.08%,0.51% (Dec 2023),0% (Mar 2023),57.57 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Tatva Chintan Pharma Chem Ltd.,Specialty chemicals,2.09,8.5,0.41%,-0.04%,0.57% (Jun 2023),0% (Mar 2023),7.00 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Max Healthcare Institute Ltd.,Hospital,2.19,8.2,0.39%,0.01%,0.39% (Feb 2024),0% (Mar 2023),10.29 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
CRISIL Ltd.,Other financial services,0.32,6.8,0.32%,-0.36%,0.7% (Dec 2023),0% (Mar 2023),1.35 k,-2.16 k,Mid Cap,7.79,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
"-
Cello World Ltd.",Household appliances,0.29,6.1,0.29%,0.00%,0.29% (Jan 2024),0% (Mar 2023),7.10 k,0.00,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
SBI Cards and Payment Services Ltd.,Non banking financial company (nbfc),4.72,9.9,0.00%,-0.47%,-,-,-,-,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Pi Industries Ltd.,Pesticides & agrochemicals,,31.7,0.00%,-1.51%,-,-,-,-,Mid Cap,7.79,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Info Edge (India) Ltd.,Internet & catalogue retail,0.51,6.6,0.00%,-0.31%,-,-,-,-,Mid Cap,7.79,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Sanofi India Ltd.,Pharmaceuticals,1.41,11,0.00%,-0.53%,-,-,-,-,Mid Cap,7.79,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Sai Silk (Kalamandir) Ltd.,Speciality retail,0.56,6.1,0.00%,-0.29%,-,-,-,-,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
Equitas Small Finance Bank Ltd.,Other bank,,15.5,0.00%,-0.74%,-,-,-,-,Other,19.26,pgim-india-hybrid-equity-fund-direct-plan-growth,MDE513,Equity,01_aggressive_hybrid
HDFC Bank Ltd.,Private sector bank,13.76,2720.9,7.37%,-0.46%,9.27% (Jul 2023),6.06% (May 2023),19.39 L,0.00,Other,10.17,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
Reliance Industries Ltd.,Refineries & marketing,6.96,2571,6.96%,0.03%,6.96% (Feb 2024),6.04% (Sep 2023),8.80 L,0.00,Large Cap,45.43,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
State Bank Of India,Public sector bank,6.68,2468.7,6.68%,-0.04%,7.18% (Jul 2023),6.56% (Nov 2023),33.00 L,-5.00 L,Large Cap,45.43,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
Tata Consultancy Services Ltd.,Computers - software & consulting,7.36,1628.9,4.41%,0.22%,4.44% (Sep 2023),4.19% (Dec 2023),3.98 L,0.00,Large Cap,45.43,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
ICICI Bank Ltd.,Private sector bank,13.76,1604.6,4.34%,0.01%,7.23% (Mar 2023),4.14% (Nov 2023),15.25 L,0.00,Large Cap,45.43,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
Bharti Airtel Ltd.,Telecom - cellular & fixed line services,5.1,1516.5,4.11%,-0.25%,4.36% (Jan 2024),3.56% (Mar 2023),13.50 L,0.00,Large Cap,45.43,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
Larsen & Toubro Ltd.,Civil construction,3.78,1397.3,3.78%,-0.08%,3.91% (Dec 2023),2.95% (May 2023),4.02 L,0.00,Large Cap,45.43,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
Infosys Ltd.,Computers - software & consulting,7.36,1088,2.95%,-0.03%,3.85% (Mar 2023),2.77% (Dec 2023),6.50 L,0.00,Large Cap,45.43,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
ITC Limited,Diversified fmcg,4.62,1056.4,2.86%,-0.31%,4.29% (May 2023),2.86% (Feb 2024),26.00 L,0.00,Large Cap,45.43,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
BASF India Ltd.,Specialty chemicals,2.77,1022.8,2.77%,0.17%,3.18% (May 2023),2.6% (Jan 2024),3.10 L,0.00,Small Cap,9.94,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
Varun Beverages Ltd.,Other beverages,2.59,955.2,2.59%,-0.59%,3.34% (Dec 2023),2.52% (Jul 2023),6.78 L,-2.22 L,Other,10.17,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
Pi Industries Ltd.,Pesticides & agrochemicals,2.52,931,2.52%,0.43%,2.52% (Feb 2024),0% (Mar 2023),2.54 L,28.50 k,Mid Cap,10.42,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
Infrastructure Development Finance Company Limited,Holding company,2.14,791.9,2.14%,-0.10%,2.57% (Sep 2023),1% (Mar 2023),68.00 L,0.00,Small Cap,9.94,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
Ultratech Cement Ltd.,Cement & cement products,2.47,727.9,1.97%,-0.09%,2.32% (Dec 2023),1.86% (Apr 2023),73.58 k,0.00,Large Cap,45.43,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
Redington Ltd.,Trading & distributors,1.79,661.6,1.79%,0.20%,2.11% (Mar 2023),1.49% (Nov 2023),32.00 L,0.00,Small Cap,9.94,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
Hindustan Unilever Ltd.,Diversified fmcg,4.62,651.3,1.76%,-0.09%,2.19% (Mar 2023),1.76% (Feb 2024),2.70 L,0.00,Large Cap,45.43,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
Aditya Birla Fashion and Retail Ltd.,Speciality retail,1.31,484.2,1.31%,-0.14%,1.47% (Apr 2023),1.3% (May 2023),21.50 L,0.00,Mid Cap,10.42,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
Kotak Mahindra Bank Ltd.,Private sector bank,13.76,473.1,1.28%,-0.13%,1.7% (May 2023),1.28% (Feb 2024),2.80 L,0.00,Large Cap,45.43,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
HDFC Asset Management Co. Ltd.,Asset management company,1.27,469.1,1.27%,0.03%,1.27% (Feb 2024),0% (Mar 2023),1.25 L,0.00,Large Cap,45.43,tata-hybrid-equity-fund-direct-plan-growth,MTA718,Equity,01_aggressive_hybrid
