Stock Invested in,Sector,Sector Total,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName,Fund Name,Fund Id,MF ACF,MF Type
Sona BLW Precision Forgings Ltd.,Auto components & equipments,5.33,1447.6,0.54%,0.04%,0.58% (May 2023),0.37% (Nov 2023),21.00 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Tata Consumer Products Ltd.,Tea & coffee,0.53,1428.1,0.53%,0.01%,0.53% (Dec 2023),0.4% (Mar 2023),12.00 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Siemens Ltd.,Heavy electrical equipment,6.56,1405.9,0.52%,0.04%,0.81% (Mar 2023),0.48% (Nov 2023),3.00 L,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Divis Laboratories Ltd.,Pharmaceuticals,6.1,1391.9,0.52%,-0.05%,0.67% (Nov 2023),0.4% (Mar 2023),3.99 L,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Ajanta Pharma Limited,Pharmaceuticals,6.1,1388.8,0.52%,-0.01%,0.58% (Apr 2023),0.52% (Feb 2024),6.29 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
ABB Power Products and Systems India Ltd.,Heavy electrical equipment,6.56,1338.4,0.50%,0.16%,0.5% (Feb 2024),0% (Mar 2023),2.23 L,75.92 k,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Sanofi India Ltd.,Pharmaceuticals,6.1,1312.5,0.49%,-0.02%,0.55% (Oct 2023),0% (Mar 2023),1.52 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Abbott India Ltd.,Pharmaceuticals,6.1,1272.2,0.47%,0.02%,0.69% (Mar 2023),0.42% (Dec 2023),44.74 k,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Colgate - Palmolive (India) Limited,Personal care,1.52,1264.6,0.47%,-0.03%,0.51% (Oct 2023),0% (Mar 2023),5.00 L,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Narayana Hrudayalaya Ltd.,Hospital,0.46,1245.1,0.46%,-0.01%,0.76% (Mar 2023),0.44% (Oct 2023),9.28 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Gillette India Ltd.,Personal care,1.52,1236.5,0.46%,-0.03%,0.49% (Jan 2024),0% (Mar 2023),1.90 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
One 97 Communications Ltd.,Financial technology (fintech),0.44,1184.6,0.44%,-0.43%,0.87% (Jan 2024),0% (Mar 2023),29.37 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
"#
Devyani International Ltd.",Restaurants,1.05,1178.5,0.44%,0.44%,0.44% (Feb 2024),0% (Mar 2023),76.73 L,76.73 L,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Electronics Mart lndia Ltd.,Speciality retail,2.4,1169.9,0.44%,-0.04%,0.56% (Nov 2023),0.24% (Mar 2023),56.46 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
CG Power and Industrial Solutions Ltd.,Heavy electrical equipment,6.56,1115.2,0.42%,-0.04%,0.46% (Jan 2024),0% (Mar 2023),25.16 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Multi Commodity Exchange Of India Ltd.,Exchange and data platform,0.4,1066.6,0.40%,-0.01%,0.43% (Nov 2023),0.26% (Aug 2023),2.83 L,-0.25 L,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Care Ratings Ltd.,Ratings,0.4,1060.2,0.40%,0.03%,0.43% (Mar 2023),0.35% (Dec 2023),9.13 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
"#
Whirlpool Of India Ltd.",Household appliances,2.48,1002.4,0.37%,0.37%,0.37% (Feb 2024),0% (Mar 2023),7.98 L,7.98 L,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Sheela Foam Ltd.,"Furniture, home furnishing",0.36,976.3,0.36%,-0.07%,0.48% (Dec 2023),0% (Mar 2023),9.42 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Dalmia Bharat Ltd.,Cement & cement products,0.35,945.9,0.35%,-0.06%,0.43% (Dec 2023),0% (Mar 2023),4.67 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Emami Ltd.,Personal care,1.52,943,0.35%,-0.04%,0.53% (Aug 2023),0.35% (Feb 2024),20.24 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Timken India Ltd.,Abrasives & bearings,0.35,937,0.35%,-0.10%,0.5% (Jun 2023),0% (Mar 2023),3.44 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Finolex Cables Ltd.,Cables - electricals,0.35,928.3,0.35%,-0.08%,1.07% (Mar 2023),0.35% (Feb 2024),10.08 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Kansai Nerolac Paints Ltd.,Paints,0.3,803.6,0.30%,-0.07%,0.5% (May 2023),0.3% (Feb 2024),27.75 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Indus Towers Ltd.,Telecom - infrastructure,0.28,758.4,0.28%,0.02%,0.28% (Feb 2024),0% (Mar 2023),30.00 L,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Mahindra & Mahindra Financial Services Ltd.,Non banking financial company (nbfc),3.75,708.5,0.26%,-0.02%,0.6% (Jun 2023),0.21% (Dec 2023),25.00 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
VRL Logistic Ltd.,Logistics solution provider,1.73,654,0.24%,-0.03%,0.4% (Mar 2023),0.23% (Oct 2023),11.22 L,2.00 L,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Bajaj Consumer Care Ltd.,Personal care,1.52,636.4,0.24%,0.01%,0.35% (Aug 2023),0.23% (Jan 2024),27.12 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Cesc Ltd.,Integrated power utilities,2.5,634.3,0.24%,-0.04%,0.28% (Jan 2024),0% (Mar 2023),50.00 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
"-
Tata Steel Ltd.",Iron & steel products,0.24,633.8,0.24%,0.00%,0.55% (Mar 2023),0.24% (Jan 2024),45.00 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Chalet Hotels Ltd.,Hotels & resorts,6.89,630.1,0.24%,0.01%,0.44% (Apr 2023),0.21% (Nov 2023),7.77 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
TCI Express Ltd.,Logistics solution provider,1.73,617.4,0.23%,-0.01%,0.24% (Jan 2024),0% (Mar 2023),5.51 L,93.35 k,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
FSN E-Commerce Ventures Ltd.,E-retail/ e-commerce,1.53,606.9,0.23%,-0.02%,0.46% (Jun 2023),0% (Mar 2023),38.68 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
"-
Teamlease Services Ltd.",Diversified commercial services,0.22,588.8,0.22%,0.00%,0.31% (Mar 2023),0.22% (Nov 2023),1.95 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
VST Tillers Tractors Ltd.,Tractors,0.22,578.5,0.22%,-0.01%,0.33% (Nov 2023),0.22% (Feb 2024),1.76 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
GE Power India Ltd.,Heavy electrical equipment,6.56,572,0.21%,0.03%,0.21% (Nov 2023),0.15% (Mar 2023),19.00 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Au Small Finance Bank Ltd.,Other bank,0.21,569.9,0.21%,-0.04%,0.32% (Mar 2023),0% (Mar 2023),10.00 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Kalpataru Power Transmission Ltd.,Civil construction,2.61,386.5,0.14%,0.02%,0.23% (Mar 2023),0.12% (Nov 2023),4.00 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Blue Star Ltd.,Household appliances,2.48,319.6,0.12%,-0.03%,0.15% (Nov 2023),0% (Mar 2023),2.52 L,-0.86 L,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
"-
Kaynes Technology India Private Ltd.",Industrial products,2.38,304.8,0.11%,0.00%,0.11% (Feb 2024),0% (Mar 2023),1.03 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Astec Lifesciences Ltd.,Pesticides & agrochemicals,,159.7,0.00%,-0.06%,-,-,-,-,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Mankind Pharma Ltd.,Pharmaceuticals,6.1,253.6,0.00%,-0.10%,-,-,-,-,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Burger King India Ltd.,Restaurants,1.05,597.7,0.00%,-0.23%,-,-,-,-,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Tata Technologies Ltd.,Computers - software & consulting,3.11,94,0.00%,-0.04%,-,-,-,-,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
TVS Motor Company Ltd.,2/3 wheelers,5.98,8770.7,5.98%,0.39%,6.3% (Jul 2023),5.51% (Mar 2023),41.00 L,0.00,Mid Cap,15.73,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
ICICI Bank Ltd.,Private sector bank,5.53,7365.4,5.02%,0.11%,5.44% (May 2023),4.74% (Nov 2023),70.00 L,0.00,Large Cap,34,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
InterGlobe Aviation Ltd.,Airline,4.09,5995.2,4.09%,0.25%,4.09% (Feb 2024),3.15% (Mar 2023),19.00 L,0.00,Large Cap,34,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Blue Star Ltd.,Household appliances,8.29,5780,3.94%,0.41%,3.94% (Feb 2024),2.56% (Aug 2023),45.50 L,0.00,Small Cap,14.79,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Bharti Airtel Ltd.,Telecom - cellular & fixed line services,3.75,5504.4,3.75%,-0.16%,3.91% (Jan 2024),0% (Mar 2023),49.00 L,0.00,Large Cap,34,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
K.P.R. Mill Ltd.,Other textile products,3.68,5394.9,3.68%,-0.10%,4.39% (Nov 2023),3.3% (May 2023),70.14 L,0.00,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
State Bank Of India,Public sector bank,4.83,5236.7,3.57%,0.51%,7.28% (Apr 2023),2.86% (Nov 2023),70.00 L,0.00,Large Cap,34,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
Krishna Institute of Medical Sciences Ltd.,Hospital,4.82,4739.3,3.23%,0.17%,3.23% (Feb 2024),0% (Mar 2023),21.00 L,0.00,Other,30.91,sbi-multicap-fund-direct-plan-growth,MSB1831,Equity,07_multi
