"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 18-Apr-2024","1W AGO 
 15-Apr-2024","1M AGO 
 22-Mar-2024","1Y AGO 
 21-Apr-2023","52W H 
","52W L 
","365 D % CHNG 
 21-Apr-2023","30 D % CHNG 
 22-Mar-2024"
NIFTY INFRASTRUCTURE,"8,423.60",1.01,"8,414.70","8,439.30","8,381.85","8,339.05","8,324.40","8,348.15","8,146.40","5,170.05","8,527.95","5,285.65",62.93,3.4
NIFTY100 LIQUID 15,"6,448.75",1.23,"6,417.65","6,462.60","6,405.20","6,370.60","6,309.40","6,390.40","6,304.40","4,407.40","6,523.95","4,497.15",46.32,2.29
NIFTY MIDCAP LIQUID 15,"10,917.95",0.16,"10,993.85","10,993.85","10,872.75","10,900.55","10,984.70","11,109.45","10,764.15","7,544.95","11,517.75","7,652.15",44.71,1.43
NIFTY MNC,"26,386.45",0.88,"26,301.90","26,434.80","26,235.50","26,155.15","26,234.45","26,247.90","25,455.60","19,245.30","26,625.65","19,588.80",37.11,3.66
NIFTY PSE,"9,536.80",0.66,"9,585.00","9,595.05","9,505.90","9,474.35","9,468.85","9,542.25","8,968.25","4,590.95","9,740.90","4,622.60",107.73,6.34
NIFTY SERVICES SECTOR,"28,100.75",0.79,"28,161.30","28,161.80","27,939.05","27,879.15","27,651.20","28,024.35","27,622.80","23,206.80","28,731.90","23,524.45",21.09,1.73
NIFTY100 ESG SECTOR LEADERS,"3,698.75",0.93,"3,697.10","3,704.80","3,676.85","3,664.70","3,643.80","3,686.25","3,648.85","2,826.65",-,-,30.85,1.37
NIFTY INDIA DIGITAL,"7,629.50",0.44,"7,654.60","7,672.00","7,608.50","7,596.00","7,621.35","7,780.20","7,649.60","5,035.60","8,049.00","4,755.25",51.51,-0.26
NIFTY100 ESG,"4,360.25",1.07,"4,351.85","4,366.45","4,334.00","4,314.05","4,299.60","4,357.70","4,315.35","3,244.80",-,-,34.38,1.04
NIFTY INDIA MANUFACTURING,"12,612.65",1.12,"12,580.15","12,628.20","12,529.10","12,473.30","12,462.55","12,481.35","12,029.00","8,207.55",-,-,53.67,4.85
NIFTY TATA GROUP 25% CAP,"16,171.85",0.84,"16,185.10","16,205.10","16,082.40","16,037.00","16,019.90","16,209.95",-,-,"16,583.60","9,887.45",-,-
NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20,"13,165.60",1.15,"13,129.05","13,186.00","13,097.60","13,015.30","12,992.75","13,008.30",-,-,"13,247.50","8,394.35",-,-
NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,"12,882.10",0.67,"12,888.25","12,907.40","12,820.65","12,796.85","12,805.60","12,837.60",-,-,"13,121.35","8,010.10",-,-
NIFTY 8-13 YR G-SEC,"2,573.56",0.13,"2,570.56","2,573.72","2,568.51","2,570.06","2,576.71","2,576.15","2,580.94","2,409.07",-,-,6.83,-0.29
NIFTY 10 YR BENCHMARK G-SEC,"2,277.30",0.09,"2,275.11","2,277.53","2,273.31","2,275.11","2,280.83","2,280.15","2,286.54","2,134.87",-,-,6.67,-0.4
NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE),869.56,0.09,868.72,869.65,868.03,868.72,870.91,870.66,877.12,873.75,-,-,-0.48,-0.86
NIFTY 4-8 YR G-SEC INDEX,"2,793.82",0.14,"2,790.34","2,793.96","2,790.28","2,789.79","2,794.77","2,795.16","2,791.15","2,626.21",-,-,6.38,0.1
NIFTY 11-15 YR G-SEC INDEX,"2,836.62",0.1,"2,834.18","2,836.95","2,832.73","2,833.62","2,842.98","2,840.91","2,843.16","2,628.63",-,-,7.91,-0.23
NIFTY 15 YR AND ABOVE G-SEC INDEX,"3,114.57",0.31,"3,105.38","3,115.04","3,105.38","3,104.76","3,117.87","3,118.53","3,148.73","2,874.06",-,-,8.37,-1.08
NIFTY COMPOSITE G-SEC INDEX,"2,660.20",0.17,"2,656.13","2,660.28","2,654.93","2,655.61","2,662.95","2,662.88","2,669.29","2,487.69",-,-,6.93,-0.34
